LR,NN
0.9285714285714286,0.8428571428571429
0.9571428571428572,0.8857142857142857
0.9571428571428572,0.9
0.9285714285714286,0.9142857142857143
0.9285714285714286,0.8285714285714286
0.9571428571428572,0.8428571428571429
0.9571428571428572,0.9
0.9857142857142858,0.8857142857142857
0.9565217391304348,0.8840579710144928
0.9130434782608695,0.8985507246376812
0.9571428571428572,0.8857142857142857
0.9285714285714286,0.8571428571428571
0.9285714285714286,0.9
0.9714285714285714,0.9857142857142858
0.9285714285714286,0.9285714285714286
0.9714285714285714,0.9
0.9428571428571428,0.9
0.9857142857142858,0.8714285714285714
0.927536231884058,0.8695652173913043
0.927536231884058,0.8840579710144928
0.9428571428571428,0.9
0.9571428571428572,0.9
0.9857142857142858,0.8571428571428571
0.9428571428571428,0.8428571428571429
0.9285714285714286,0.8571428571428571
0.9142857142857143,0.9285714285714286
0.9714285714285714,0.8857142857142857
0.9714285714285714,0.9285714285714286
0.9710144927536232,0.8405797101449275
0.9565217391304348,0.8405797101449275
0.9428571428571428,0.9
0.9857142857142858,0.9428571428571428
0.9285714285714286,0.8714285714285714
0.9428571428571428,0.8571428571428571
0.9714285714285714,0.9142857142857143
0.9714285714285714,0.9285714285714286
0.9428571428571428,0.9142857142857143
1.0,0.8714285714285714
0.9420289855072463,0.8985507246376812
0.9130434782608695,0.855072463768116
0.9428571428571428,0.8428571428571429
0.9714285714285714,0.9
0.9571428571428572,0.9
0.9714285714285714,0.9142857142857143
0.9428571428571428,0.9
0.9714285714285714,0.9142857142857143
0.9714285714285714,0.9142857142857143
0.9428571428571428,0.8428571428571429
0.9130434782608695,0.8985507246376812
0.9130434782608695,0.8405797101449275
